"C1", "C2"
"あきのたのかりほのいほのとまをあらみ", "わかころもてはつゆにぬれつつ"
"はるすきてなつきにけらししろたへの", "ころもほすてふあまのかくやま"
"あしひきのやまとりのをのしたりをの", "なかなかしよをひとりかもねむ"
"たこのうらにうちいててみれはしろたへの", "ふしのたかねにゆきはふりつつ"
"おくやまにもみちふみわけなくしかの", "こゑきくときそあきはかなしき"
"かささきのわたせるはしにおくしもの", "しろきをみれはよそふけにける"
"あまのはらふりさけみれはかすかなる", "みかさのやまにいてしつきかも"
"わかいほはみやこのたつみしかそすむ", "よをうちやまとひとはいふなり"
"はなのいろはうつりにけりないたつらに", "わかみよにふるなかめせしまに"
"これやこのゆくもかへるもわかれては", "しるもしらぬもあふさかのせき"
"わたのはらやそしまかけてこきいてぬと", "ひとにはつけよあまのつりふね"
"あまつかせくものかよひちふきとちよ", "をとめのすかたしはしととめむ"
"つくはねのみねよりおつるみなのかわ", "こひそつもりてふちとなりぬる"
"みちのくのしのふもちすりたれゆゑに", "みたれそめにしわれならなくに"
"きみかためはるののにいててわかなつむ", "わかころもてにゆきはふりつつ"
"たちわかれいなはのやまのみねにおふる", "まつとしきかはいまかへりこむ"
"ちはやふるかみよもきかすたつたかは", "からくれなゐにみつくくるとは"
"すみのえのきしによるなみよるさへや", "ゆめのかよひちひとめよくらむ"
"なにはかたみしかきあしのふしのまも", "あはてこのよをすくしてよとや"
"わひぬれはいまはたおなしなにはなる", "みをつくしてもあはむとそおもふ"
"いまこむといひしはかりになかつきの", "ありあけのつきをまちいてつるかな"
"ふくからにあきのくさきのしをるれは", "むへやまかせをあらしといふらむ"
"つきみれはちちにものこそかなしけれ", "わかみひとつのあきにはあらねと"
"このたひはぬさもとりあへすたむけやま", "もみちのにしきかみのまにまに"
"なにしおははあふさかやまのさねかつら", "ひとにしられてくるよしもかな"
"をくらやまみねのもみちはこころあらは", "いまひとたひのみゆきまたなむ"
"みかのはらわきてなかるるいつみかは", "いつみきとてかこひしかるらむ"
"やまさとはふゆそさびしさまさりける", "ひとめもくさもかれぬとおもへは"
"こころあてにおらはやおらむはつしもの", "おきまとはせるしらきくのはな"
"ありあけのつれなくみえしわかれより", "あかつきはかりうきものはなし"
"あさほらけありあけのつきとみるまてに", "よしののさとにふれるしらゆき"
"やまかはにかせのかけたるしからみは", "なかれもあへぬもみちなりけり"
"ひさかたのひかりのとけきはるのひに", "しつこころなくはなのちるらむ"
"たれをかもしるひとにせむたかさこの", "まつもむかしのともならなくに"
"ひとはいさこころもしらすふるさとは", "はなそむかしのかににほひける"
"なつのよはまたよひなからあけぬるを", "くものいつこにつきやとるらむ"
